"MaterialID","MaterialName","UnitID","CategoryID"
"35833156",Product. Ready-mix concrete material cost. 350kgf/cm². Type 1 cement. Delivery to construction site.,9,2
"35935572",Metal Materials. Steel. H-Beam,5,5
"36231783",Galvanized grating and frame,5,5
"36553958","Product: Wall tiles. (Porcelain tiles, first-class quality). 300x600mm",4,5
"36913810",Metal Materials. Wire,5,5
"37135391",Product: High-density polyethylene pipe. Straight pipe. Material: PE3408. Maximum operating pressure: 0.98 MPa (10 kgf/cm²). Nominal diameter: 300 mm.,12,5
"37295260",Product. Ready-mix concrete material cost. 175kgf/cm². Type 1 cement. Delivery to construction site.,9,2
"37308985",Small stones,5,5
"37338124",Occupational Safety and Health. General Equipment. Fire Extinguishers,7,5
"37376585",Mud water-surface material paving technician,1,1
"37385696","Wall tiles. (Porcelain tiles, first-class quality)",4,5
"37816686",Rebar. Rebar Connector. D19mm,7,5
"38250360",Product. Glass. Tempered glass. Flat. t=5mm,20,5
"38285503",Product. Ready-mix concrete material cost. 175kgf/cm². Type 2 cement. Delivery to construction site.,9,2
"38840994",Occupational safety and health. Protective equipment. Hands. Sleeves. Welding fire protection,6,5
"39349722",Product: Reinforced concrete pipe (Type B). D = 900mm. Grade 3 pipe. Includes pipe fittings.,12,2
"39392920",Grass. Carpetgrass,4,5
"39823450",Structural concrete. Ready-mixed. 210kgf/cm2,9,2
"40056581",Quality management. Test specifications and standards. Civil engineering and construction inspections. Gravel grading site density testing.,18,4
"40181935",Occupational Safety and Health. Protective Equipment. Respiratory. Gas Masks,7,5
"40264926",product. Water intake,7,5
"40603163",New Jersey Guardrail,7,5
"41273847",Product. Ready-mix concrete material cost. 350kgf/cm2. Type 2 cement,9,2
"41837852",Occupational Safety and Health. Protective Equipment. Respiratory. Masks,7,5
"42091325",Steel drilling technician,1,1
"42169044",Sealing materials. Sealing agents. Silicone fillings,12,5
"42235350","Product. Granules. Fine granules. (Fine sand, for finishing)",9,5
"42339391",Product. Waterstop. PVC. Type A. 220x9mm,12,5
"42436584",Product. Grounding conductor. Bare flexible copper stranded wire. Nominal cross-sectional area 100mm2,12,5
"42462441",Product: Stainless steel pipe. Diameter = 5cm. Thickness 2.0mm,12,5
"43507489",Mobile Engineering Notice Board,7,5
"43524491",Manual demolition. Road excavation. Asphalt concrete. Shipping included.,9,3
"44349361",Ordinary formwork. For general engineering use,4,5
"44769200",Structural concrete. 175kgf/cm2,9,2
"45176955",Granules. Coarse Granules,10,5
"45377076",Product: Precast concrete. L1 precast trench cover. Width 100cm x Length 90cm. Height 25cm,7,2
"45540424",Occupational Safety and Health. Protective Equipment. Working at Heights. Safety Ropes,12,5
"45657579","Sidewalk Surfaces, Paving Bricks (High Pressure)",4,3
"45667651",Toner,5,5
"46020613",Product: Reinforced concrete pipe culvert. D=300mm,12,2
"46164955",Product: Reinforced concrete pipe (Type B). D=1200mm. Tertiary pipe,7,2
"46843172","Product: Asphalt concrete surfacing (Type 1, densely graded). Delivery to site.",11,2
"47553014",Flexible Paving. Mineral Filler,5,3
"47683626",Product. Ready-mix concrete material cost. 280kgf/cm². Type 1 cement. Delivery to construction site.,9,2
"48181396",Product. Flexible surfacing. Asphalt putty. Viscosity AC-20,5,5
"48537831",Machine tool operator. Rock drill,3,1
"48586340",Product: Reinforced concrete pipe (Type B). D=1500mm. Tertiary pipe,7,2
"48718453",Product. Ready-mix concrete material cost. 280kgf/cm². Type 2 cement. Delivery to construction site.,9,2
"48966946",Product: High-pressure concrete floor tiles. Thickness: 30mm,4,2
"49597086",Product. Lighting Control Switch. Three-way. 15A,7,5
"49684848",Plasterer-Painter,1,1
"50119651",Selective backfill material. Graded aggregate. Natural graded,19,3
"50185867",Architectural concrete. Type C,4,2
"50806024",Product: Reinforced concrete pipe (Type B). D = 300mm. Grade 3 pipe. Includes pipe fittings.,12,2
"50864911",Product. Reinforced concrete edge. Precast. 20 ≤ Base width < 25cm. 35 ≤ Overall height < 40cm,12,2
"50929647",Timber for formwork,4,5
"50992979",Divider rod,7,5
"51019678",Graded aggregate base. Graded crushed stone,10,2
"51220073",Rebar. SD280. Site delivery,11,5
"51642594",Metal Materials. Galvanized Steel Pipes,5,5
"52401521",Access Control Equipment. Access Control Machine. Card Reader,7,5
"53100814",Laying technician,1,1
"53121477",Product. Flat plastic warning tape. Polyvinyl chloride (PVC). Width = 150mm,12,5
"53551839",Occupational Safety and Health. Protective Equipment. Ear. Earplugs,6,5
"53606628",Product: Reinforced concrete pipe (Type B). D=1200mm. Secondary pipe,12,2
"53826716",Product: Reinforced concrete pipe (Type B). D = 800mm. Grade 3 pipe. Excavation and backfill not included.,12,3
"53843426",Occupational Safety and Health. Protective Equipment. Working at Heights. Fall Arresters,7,5
"54038913",Occupational Safety and Health. Protective Equipment. Eyewear. Safety Glasses,6,5
"54193837",Technician. Night. Measurement,1,1
"54547971",Product: Reinforced concrete pipe (Type B). D=600mm. Tertiary pipe,7,2
"54634663",Stone. Pebbles,9,5
"55177213",Grass Planting. Bermuda Grass (Bermudagrass),4,5
"56267415",Architectural concrete. Type B,4,2
"56306997",Occupational Safety and Health. Protective Equipment. Hands. Work Gloves,6,5
"56623995","Product. Metal joining. (Mechanical joining, structural). Bolt. General type, #8 (25mm)",7,5
"56629388",Markings. Road. Reflective. Tempered glass,7,5
"56661351",Product. Temporary retaining pile facilities. Steel sheet pile. L=13m,7,5
"56722344",Waterstop,12,5
"56775103",Product. Ready-mixed concrete material cost. 210kgf/cm2. Type 1 cement,9,2
"56792612",Grass Planting. False Grass,4,5
"56851377",Product: High-density polyethylene pipe. Straight pipe. Material: PE3408. Maximum operating pressure: 0.98 MPa (10 kgf/cm²). Nominal diameter: 200 mm.,12,5
"56851760",Product. Planting. Added soil. Sandy loam,17,5
"57403166",rebar. SD420W. Continuous processing and material handling,11,2
"57503414",Product. Temporary retaining pile facilities. Steel sheet pile. L=9m,7,5
"57854710",Construction Warning Lights. Depreciation,7,5
"58353204",Movable chevaux de frise,7,5
"58800797","Metal joining. (Mechanical joining, structural). Shear screws",7,5
"58812137",Ecological slope protection. Earth bags,7,5
"59302158",Laying technician. Stone,1,1
"59476001",Rebar. Rebar Connector. D25mm,7,5
"60211891",Product. Slope stabilization horizontal drainage pipe. High-density polyethylene (HDPE) pipe (non-porous). Pipe diameter = 60mm,12,5
"60291817",Marking. Heat-treated polyester,5,5
"60597444",Product. Metal. Steel. Steel plate. Thickness 2mm,5,5
"60855700",Construction Signs,7,5
"60897765",Occupational Safety and Health. Protective Equipment. Inductance Prevention. Insulation Protection Sleeves,12,5
"61070189",Product. Ready-mixed concrete material cost. 140kgf/cm2. Type 1 cement,9,2
"61367643",Product. Grounding conductor. PVC insulated wire (green). Nominal cross-sectional area 14mm2,12,5
"61510041",Construction Fence. Concrete Foundation,12,2
"61586053",Cement mortar. 1:3. Continuous work and material,9,2
"61662963",Product: Reinforced concrete pipe (Type B). D = 600mm. Grade 3 pipe. Includes pipe fittings.,12,2
"62043515",Product. Construction notice board. Aluminum. 120cm long x 75cm wide,7,5
"62092888","Wall tiles. (Porcelain mosaic tiles, first-class quality)",4,5
"62682989",Product. Bridge deck expansion joint. Tooth profile. 5 ≤ expansion < 10 mm,12,5
"62820592","Prestressed anchor. Fees for moving holes, erecting and dismantling scaffolding",12,5
"63440831",Ceiling. Exposed Shelves,4,5
"63481353",Product. Construction sign. Aluminum. 500cm long x 320cm wide,7,5
"63791320",Product. Stainless steel plate. Type 304,5,5
"63993471",Quality management. Test specifications and standards. Civil engineering and construction inspections. A3040 Concrete slump test method.,18,4
"64606833",Product: Reinforced concrete pipe (Type B). D=600mm. Secondary pipe,7,2
"65151231",Plain formwork. Type A,4,5
"65181648",Product: Reinforced concrete pipe (Type B). D = 600mm. Grade 3 pipe. Excavation and backfill not included.,12,3
"65228535",Crawler type. 90~99KW. (Used as a crusher),1,5
"65319931",Product. Precast concrete. S1 precast trench cover. 80cm wide x 100cm long,7,2
"65569635",Product. Ready-mixed concrete material cost. 420kgf/cm2,9,2
"65579548",Graded aggregate base. Graded crushed stone,10,2
"66238574",Steel pipe construction scaffolding technician,1,1
"67005685","Decorative carpentry, furniture carpentry, door and window carpentry technicians.",3,1
"67187530",Product. Ready-mixed concrete material cost. 245kgf/cm2. Type 1 cement,9,2
"67491435",Quality management. Test specifications and standards. Civil engineering and construction inspections. A3045 Test method for compressive strength of concrete cylindrical specimens,7,4
"67827638",(Used as a crusher),3,5
"67834855",Product. Ready-mixed concrete material cost. 280kgf/cm2. Type 2 cement,9,2
"67898694","Product. Waterstop. PVC. Type E. (150x9mm, 2 balls)",12,5
"68137358",Underground distribution pipelines. Backfill. Sand,9,3
"68139880",Quality management. Test specifications and standards. Civil engineering and construction inspections. A3009 Coarse aggregate (less than 37.5 mm) abrasion test method.,18,4
"68159587",Quality management. Test specifications and standards. Civil engineering and construction inspections. Standard compaction test. Revised compaction test.,18,4
"68387461",Product. Sump. Stainless steel steps. D=19mm,7,5
"69008866",Cement mortar. 1:2. Continuous work and material,9,2
"69467853",Metal Materials. Steel. Angle Steel,5,5
"70166708",Product. 600V polyvinyl chloride insulated wire (PVC). Stranded wire. 5.5mm2,12,5
"70823176",Temporary construction facilities on construction sites. Temporary toilets.,7,5
"70993218",Product: PVC drainage pipe. D = 100mm. Includes pipe fittings,12,5
"71016525",Manual demolition. Structural demolition (demolition of structures other than buildings). Concrete,9,3
"71182864",Product. Flexible paving. Asphalt mortar. Viscosity AC-10. Delivery from the mixing plant.,5,3
"71286543",Quality management. Test specifications and standards. Civil engineering and construction inspection. A3051 Test method for compressive and flexural strength of drilled and sawn concrete specimens,7,4
"71498611",Technician. Concrete,1,1
"71691040",Ecological slope protection. Straw mat covering,4,5
"71971316","1.5M3. Wheeled",3,5
"71979055",Product. Slope stabilization horizontal drainage pipe. High-density polyethylene (HDPE) pipe (non-porous). Pipe diameter = 50mm,12,5
"72070937",Equipment operator. Equipment lifting technician.,1,1
"72160068",Road Marking. Paint,8,5
"72340307",Occupational Safety and Health. Protective Equipment. Foot. Rainboots,6,5
"72374753",Product. Stainless steel reflector. D=100cm,7,5
"72383095",Product. Waterstop. PVC. Type A. 150x9mm,12,5
"72394227",Fixed foam fire extinguishing equipment. Foam discharge port. Foam nozzle,7,5
"72556484",Product: Reinforced concrete pipe (Type B). D=300mm. Tertiary pipe,7,2
"72772208",Temporary retaining pile facilities. Steel sheet pile. L=6m. Driving and pulling out,7,3
"72909480",White Cement,2,2
"73140807",Machine operator. Asphalt pavement paving machine,3,1
"73197857",Iron,5,5
"73793389",Chemical additives. Early strength agents,5,5
"73863413",Rebar. Rebar Connector. D32mm,7,5
"74045292",Steel structure technician,1,1
"74093639",Structural steel. General structural rolled steel. A36,5,5
"74252420",Product. Metal. Steel. Steel plate. Thickness 6mm,5,5
"74252722",Underground distribution pipelines. Backfill. Crushed stone 10-50mm,9,3
"74346088",Product. Precast concrete. S1 precast trench cover. 90cm wide x 50cm long,7,2
"74437458",Occupational Safety and Health. General Equipment. Oxygen Concentrators and Oxygen Concentration Alarms,15,5
"74593961",Product: Precast concrete. L1 precast trench cover. Width 100cm x Length 90cm. Height 30cm,7,2
"74752529","Product. Aggregate. Fine aggregate. (Coarse sand, for mixing)",9,2
"75283645",rebar. Embedded rebar. D19mm,18,2
"75329037",Iron nails. Galvanized,5,5
"75345555",Occupational Safety and Health. Protective Equipment. Respiratory. Air Respirators,15,5
"75563727",Flexible surfacing. Peel-off agent,5,5
"75863473",Asphalt concrete surface layer removed. Thickness 5cm,4,2
"76125617",Product. Road marking. Heat-treated polyester. Reflective. 2mm thick,4,5
"76149359",Quality management. Test specifications and standards. Civil engineering and construction inspections. Soil compaction tests.,18,4
"76460539",Excavation of structures. Mechanical excavation,9,3
"76644106","Product: Recycled asphalt concrete paving (dense graded, 30% recycled material)",9,3
"77337818",Fixed foam fire extinguishing equipment. Sensor sprinkler head,7,5
"77490893",Grass Planting. Organic Fertilizer,5,5
"77701200",Machine tool operator. Drilling machine,1,1
"77736262",Temporary retaining pile facilities. Steel sheet pile. L=13m. Driving and pulling,7,5
"78320463",Product: Reinforced concrete pipe (Type B). D=1000mm. Secondary pipe,12,2
"78339168",Asphalt concrete surface layer removed. Thickness 10cm,4,2
"78406989",Quality management. Test specifications and standards. Civil engineering and construction inspections. A3007 Test method for specific gravity and water absorption of coarse aggregates.,18,4
"78461803",Occupational safety and health. Protective equipment. Head. Hard hat. Construction site use,7,5
"78961459",Product. Precast concrete. S1 precast trench cover. 100cm wide x 100cm long,7,2
"78979095",Road construction and restoration. Asphalt concrete pavement. 5cm,4,3
"79089901",Planting. Fertilizer. Organic Fertilizer,5,5
"79254563",Selective backfill materials. Graded aggregates,9,3
"79795010",Mechanical demolition. Structural demolition (demolition of structures other than buildings). Reinforced concrete. Shipping included.,9,3
"79864260",Earthwork. Earthwork transportation costs,10,3
"79978790",Product: Reinforced concrete pipe (Type B). D=700mm. Tertiary pipe,7,2
"80048665",Product. Snake Cage. Oval 60cm*100cm,12,5
"80388981",Grass Planting. Seeds,5,5
"80801586",Product. Ready-mix concrete material cost. 140kgf/cm². Type 1 cement. Delivery to construction site.,9,2
"81030736",Timber for formwork. Boards,9,5
"81178885",Product: Reinforced concrete pipe (Type B). D=2000mm. Tertiary pipe,7,2
"81415657",Stone. Block. Hard Stone,10,5
"81734598",engineer,1,1
"81756179",Occupational Safety and Health. Protective Equipment. Eye Protection. Goggles. Dust Protection Goggles,7,5
"82097999",Structural steel. Hot-rolled steel. H-beam,5,5
"83016315",Machine Operator Technician. Air Compressor,3,1
"83131979",Plasterer-plastering technician. Plastering,1,1
"83370583",Flexible Paving. Fine Aggregate,10,3
"83926371",Quality management. Test specifications and standards. Civil engineering and construction inspections. A3288 Asphalt pavement compaction test method,18,4
"84214382",Clamps. Three-ply (water-resistant),4,5
"84374605",Machine tool operator. Bulldozer,3,1
"84705205",Quality management. Test specifications and standards. Civil engineering and construction inspections. Soil relative density testing.,18,4
"85125977",Product. Anti-vibration joint. Nominal pipe diameter 80mm. Stainless steel,7,5
"85132217",Product: High-pressure concrete floor tiles. 80mm thick.,4,2
"85225343",Metal Materials. Wire Mesh. Galvanized,5,5
"85320121",Product: Reinforced concrete pipe (Type B). D = 450mm. Grade 3 pipe. Includes pipe fittings.,12,2
"85511909",Structural concrete. 245kgf/cm2,9,2
"85758349",Spraying concrete technician,1,1
"85822412",ordinary workers,1,1
"85899313",Quality management. Test specifications and standards. Civil engineering and construction inspections. Heat-treated steel bar quality assessment tests.,14,4
"86028436",Traffic Cone. Connecting Rod,7,5
"86282117",Electric welding technician,1,1
"86637649",Product. Stone Dump. Stone Block. 30cm ≤ Long Diameter,9,5
"86728778",Product. Lighting control switch. Single cut. 15A,7,5
